"Parameter","Value","Type","TotalCost","Q025","Q975","CI025","CI975"
"ns0",0.85,"Deterministic",14165.2323964953,NA,NA,NA,NA
"ns0",0.85,"Stochastic",10631.8584997341,5827.24247234339,14057.2239399382,8849.00611009102,12414.7108893773
"ns0",0.866555555555556,"Deterministic",14165.2323964953,NA,NA,NA,NA
"ns0",0.866555555555556,"Stochastic",10631.8584997341,5827.24247234339,14057.2239399382,8849.00611009102,12414.7108893773
"ns0",0.883111111111111,"Deterministic",14165.2323964953,NA,NA,NA,NA
"ns0",0.883111111111111,"Stochastic",10631.8584997341,5827.24247234339,14057.2239399382,8849.00611009102,12414.7108893773
"ns0",0.899666666666667,"Deterministic",14165.2323964953,NA,NA,NA,NA
"ns0",0.899666666666667,"Stochastic",10631.8584997341,5827.24247234339,14057.2239399382,8849.00611009102,12414.7108893773
"ns0",0.916222222222222,"Deterministic",14165.2323964953,NA,NA,NA,NA
"ns0",0.916222222222222,"Stochastic",10631.8584997341,5827.24247234339,14057.2239399382,8849.00611009102,12414.7108893773
"ns0",0.932777777777778,"Deterministic",14165.2323964953,NA,NA,NA,NA
"ns0",0.932777777777778,"Stochastic",10631.8584997341,5827.24247234339,14057.2239399382,8849.00611009102,12414.7108893773
"ns0",0.949333333333333,"Deterministic",14165.2323964953,NA,NA,NA,NA
"ns0",0.949333333333333,"Stochastic",10631.8584997341,5827.24247234339,14057.2239399382,8849.00611009102,12414.7108893773
"ns0",0.965888888888889,"Deterministic",14165.2323964953,NA,NA,NA,NA
"ns0",0.965888888888889,"Stochastic",10631.8584997341,5827.24247234339,14057.2239399382,8849.00611009102,12414.7108893773
"ns0",0.982444444444444,"Deterministic",14165.2323964953,NA,NA,NA,NA
"ns0",0.982444444444444,"Stochastic",10631.8584997341,5827.24247234339,14057.2239399382,8849.00611009102,12414.7108893773
"ns0",0.999,"Deterministic",14165.2323964953,NA,NA,NA,NA
"ns0",0.999,"Stochastic",10631.8584997341,5827.24247234339,14057.2239399382,8849.00611009102,12414.7108893773
